# x_ref_m;y_ref_m;width_right_m;width_left_m;x_normvec_m;y_normvec_m;alpha_m;s_racetraj_m;psi_racetraj_rad;kappa_racetraj_radpm;vx_racetraj_mps;ax_racetraj_mps2;banking_rad;s_ref_m;psi_ref_rad;kappa_ref_radpm;dkappa_ref_radpm2
-11.5571650;-119.1763810;-7.2451750;7.2388490;-0.1395491;0.9902152;-1.2774244;18.9984860;0.1334060;-0.0000680;62.7868240;2.1704040;0.0001340;18.9990250;0.1400060;0.0000190;0.0000000
-11.0620830;-119.1066070;-7.2463540;7.2378820;-0.1395590;0.9902138;-1.2809939;19.4984470;0.1333720;-0.0000680;62.8040910;2.1670540;0.0001270;19.4989990;0.1400160;0.0000200;0.0000020
-10.5670020;-119.0368290;-7.2473410;7.2367590;-0.1395689;0.9902124;-1.2845845;19.9984070;0.1333380;-0.0000680;62.8213260;2.1637090;0.0001200;19.9989730;0.1400260;0.0000200;0.0000000
-10.0719220;-118.9670450;-7.2481160;7.2356230;-0.1395788;0.9902110;-1.2881964;20.4983670;0.1333050;-0.0000680;62.8385300;2.1603690;0.0001130;20.4989480;0.1400360;0.0000210;0.0000020
-9.5768420;-118.8972570;-7.2486860;7.2346330;-0.1395897;0.9902094;-1.2918279;20.9983270;0.1332710;-0.0000670;62.8557030;2.1570350;0.0001060;20.9989220;0.1400470;0.0000210;0.0000000
-9.0817630;-118.8274630;-7.2490800;7.2339530;-0.1395996;0.9902080;-1.2954822;21.4982870;0.1332370;-0.0000670;62.8728450;2.1537060;0.0000980;21.4988960;0.1400570;0.0000220;0.0000020
-8.5866850;-118.7576640;-7.2493450;7.2337270;-0.1396104;0.9902065;-1.2991561;21.9982470;0.1332040;-0.0000670;62.8899560;2.1503830;0.0000910;21.9988710;0.1400680;0.0000220;0.0000000
-8.0916070;-118.6878590;-7.2495340;7.2340680;-0.1396223;0.9902048;-1.3028528;22.4982080;0.1331700;-0.0000670;62.9070350;2.1470650;0.0000840;22.4988450;0.1400800;0.0000230;0.0000020
-7.5965310;-118.6180490;-7.2497020;7.2350390;-0.1396332;0.9902033;-1.3065701;22.9981680;0.1331360;-0.0000670;62.9240840;2.1437520;0.0000770;22.9988190;0.1400910;0.0000230;0.0000000
-7.1014550;-118.5482330;-7.2498990;7.2366480;-0.1396451;0.9902016;-1.3103081;23.4981280;0.1331030;-0.0000670;62.9411010;2.1404450;0.0000690;23.4987940;0.1401030;0.0000230;0.0000000
-6.6063800;-118.4784120;-7.2501640;7.2388440;-0.1396560;0.9902001;-1.3140679;23.9980880;0.1330690;-0.0000670;62.9580880;2.1371440;0.0000620;23.9987680;0.1401140;0.0000240;0.0000020
-6.1113060;-118.4085840;-7.2505180;7.2415210;-0.1396679;0.9901984;-1.3178502;24.4980480;0.1330360;-0.0000670;62.9750440;2.1338470;0.0000550;24.4987420;0.1401260;0.0000240;0.0000000
-5.6162320;-118.3387500;-7.2509720;7.2445270;-0.1396808;0.9901966;-1.3216533;24.9980080;0.1330020;-0.0000670;62.9919700;2.1305570;0.0000470;24.9987170;0.1401390;0.0000240;0.0000000
-5.1211600;-118.2689110;-7.2515180;7.2476780;-0.1396926;0.9901949;-1.3254772;25.4979690;0.1329690;-0.0000670;63.0088640;2.1272720;0.0000400;25.4986910;0.1401510;0.0000250;0.0000020
-4.6260880;-118.1990650;-7.2521410;7.2507740;-0.1397045;0.9901932;-1.3293240;25.9979290;0.1329360;-0.0000670;63.0257290;2.1239920;0.0000330;25.9986650;0.1401630;0.0000250;0.0000000
-4.1310180;-118.1292130;-7.2528180;7.2536190;-0.1397174;0.9901914;-1.3331918;26.4978890;0.1329020;-0.0000670;63.0425620;2.1207190;0.0000250;26.4986400;0.1401760;0.0000250;0.0000000
-3.6359480;-118.0593550;-7.2535230;7.2560370;-0.1397303;0.9901896;-1.3370817;26.9978490;0.1328690;-0.0000670;63.0593660;2.1174510;0.0000180;26.9986140;0.1401890;0.0000250;0.0000000
-3.1408790;-117.9894910;-7.2542350;7.2578870;-0.1397421;0.9901879;-1.3409922;27.4978090;0.1328350;-0.0000670;63.0761380;2.1141880;0.0000110;27.4985880;0.1402010;0.0000260;0.0000020
-2.6458110;-117.9196200;-7.2549370;7.2590700;-0.1397550;0.9901861;-1.3449255;27.9977690;0.1328020;-0.0000670;63.0928810;2.1109320;0.0000030;27.9985620;0.1402140;0.0000260;0.0000000
-2.1507440;-117.8497420;-7.2556210;7.2595400;-0.1397679;0.9901843;-1.3488810;28.4977300;0.1327690;-0.0000670;63.1095930;2.1076810;-0.0000040;28.4985370;0.1402270;0.0000260;0.0000000
-1.6556770;-117.7798590;-7.2562830;7.2593030;-0.1397808;0.9901825;-1.3528566;28.9976900;0.1327350;-0.0000670;63.1262760;2.1044360;-0.0000110;28.9985110;0.1402400;0.0000260;0.0000000
-1.1606120;-117.7099690;-7.2569280;7.2584120;-0.1397936;0.9901807;-1.3568544;29.4976500;0.1327020;-0.0000670;63.1429280;2.1011970;-0.0000180;29.4984850;0.1402530;0.0000260;0.0000000
-0.6655470;-117.6400720;-7.2575600;7.2569640;-0.1398065;0.9901788;-1.3608744;29.9976100;0.1326690;-0.0000670;63.1595500;2.0979640;-0.0000260;29.9984600;0.1402660;0.0000260;0.0000000
-0.1704840;-117.5701700;-7.2581840;7.2550850;-0.1398194;0.9901770;-1.3649157;30.4975700;0.1326350;-0.0000670;63.1761420;2.0947360;-0.0000330;30.4984340;0.1402790;0.0000260;0.0000000
0.3245790;-117.5002600;-7.2587980;7.2529260;-0.1398313;0.9901753;-1.3689796;30.9975300;0.1326020;-0.0000670;63.1927050;2.0915150;-0.0000400;30.9984080;0.1402910;0.0000250;-0.0000020
0.8196410;-117.4303450;-7.2593930;7.2506470;-0.1398441;0.9901735;-1.3730631;31.4974910;0.1325680;-0.0000670;63.2092370;2.0883000;-0.0000470;31.4983830;0.1403040;0.0000250;0.0000000
1.3147010;-117.3604230;-7.2599530;7.2484100;-0.1398570;0.9901717;-1.3771691;31.9974510;0.1325350;-0.0000670;63.2257400;2.0850900;-0.0000540;31.9983570;0.1403170;0.0000250;0.0000000
1.8097610;-117.2904950;-7.2604570;7.2463670;-0.1398689;0.9901700;-1.3812966;32.4974110;0.1325020;-0.0000670;63.2422130;2.0818870;-0.0000600;32.4983310;0.1403290;0.0000250;0.0000000
2.3048210;-117.2205620;-7.2608770;7.2446570;-0.1398808;0.9901684;-1.3854441;32.9973710;0.1324680;-0.0000670;63.2586570;2.0786900;-0.0000670;32.9983060;0.1403410;0.0000240;-0.0000020
2.7998790;-117.1506220;-7.2611890;7.2433930;-0.1398927;0.9901667;-1.3896131;33.4973310;0.1324350;-0.0000670;63.2750710;2.0754990;-0.0000740;33.4982800;0.1403530;0.0000240;0.0000000
3.2949360;-117.0806760;-7.2613730;7.2426610;-0.1399045;0.9901650;-1.3938041;33.9972910;0.1324010;-0.0000670;63.2914550;2.0723140;-0.0000810;33.9982540;0.1403650;0.0000230;-0.0000020
3.7899930;-117.0107240;-7.2614200;7.2425140;-0.1399164;0.9901633;-1.3980154;34.4972520;0.1323680;-0.0000670;63.3078110;2.0691350;-0.0000870;34.4982290;0.1403770;0.0000230;0.0000000
4.2850490;-116.9407670;-7.2613330;7.2429670;-0.1399273;0.9901618;-1.4022472;34.9972120;0.1323340;-0.0000670;63.3241370;2.0659630;-0.0000940;34.9982030;0.1403880;0.0000220;-0.0000020
4.7801040;-116.8708040;-7.2611290;7.2439970;-0.1399382;0.9901602;-1.4065003;35.4971720;0.1323010;-0.0000670;63.3404330;2.0627970;-0.0001000;35.4981770;0.1403990;0.0000220;0.0000000
5.2751580;-116.8008350;-7.2608380;7.2455400;-0.1399491;0.9901587;-1.4107737;35.9971320;0.1322670;-0.0000670;63.3567010;2.0596370;-0.0001060;35.9981520;0.1404100;0.0000210;-0.0000020
5.7702120;-116.7308620;-7.2605010;7.2474980;-0.1399590;0.9901573;-1.4150676;36.4970920;0.1322330;-0.0000670;63.3729400;2.0564840;-0.0001120;36.4981260;0.1404200;0.0000200;-0.0000020
6.2652650;-116.6608830;-7.2601640;7.2497420;-0.1399689;0.9901559;-1.4193816;36.9970520;0.1321990;-0.0000680;63.3891490;2.0533370;-0.0001180;36.9981000;0.1404300;0.0000200;0.0000000
6.7603170;-116.5909000;-7.2598750;7.2521260;-0.1399788;0.9901545;-1.4237151;37.4970130;0.1321660;-0.0000680;63.4053300;2.0501970;-0.0001240;37.4980750;0.1404400;0.0000190;-0.0000020
7.2553680;-116.5209120;-7.2596770;7.2544960;-0.1399877;0.9901532;-1.4280691;37.9969730;0.1321320;-0.0000680;63.4214810;2.0470630;-0.0001300;37.9980490;0.1404490;0.0000180;-0.0000020
7.7504190;-116.4509190;-7.2596060;7.2567070;-0.1399966;0.9901520;-1.4324422;38.4969330;0.1320980;-0.0000680;63.4376040;2.0439360;-0.0001360;38.4980230;0.1404580;0.0000170;-0.0000020
8.2454690;-116.3809220;-7.2596830;7.2586390;-0.1400055;0.9901507;-1.4368346;38.9968930;0.1320640;-0.0000680;63.4536990;2.0408150;-0.0001410;38.9979980;0.1404670;0.0000160;-0.0000020
8.7405190;-116.3109210;-7.2599150;7.2602090;-0.1400135;0.9901496;-1.4412465;39.4968530;0.1320300;-0.0000680;63.4697640;2.0377000;-0.0001470;39.4979720;0.1404750;0.0000160;0.0000000
9.2355680;-116.2409160;-7.2602940;7.2613780;-0.1400204;0.9901486;-1.4456782;39.9968130;0.1319960;-0.0000680;63.4858010;2.0345930;-0.0001520;39.9979460;0.1404820;0.0000150;-0.0000020
9.7306170;-116.1709080;-7.2607940;7.2621550;-0.1400273;0.9901476;-1.4501270;40.4967740;0.1319610;-0.0000690;63.5018100;2.0314920;-0.0001570;40.4979210;0.1404890;0.0000140;-0.0000020
10.2256650;-116.1008960;-7.2613750;7.2625940;-0.1400342;0.9901467;-1.4545959;40.9967340;0.1319270;-0.0000690;63.5177900;2.0283970;-0.0001620;40.9978950;0.1404960;0.0000130;-0.0000020
10.7207130;-116.0308810;-7.2619870;7.2627850;-0.1400402;0.9901458;-1.4590825;41.4966940;0.1318930;-0.0000690;63.5337420;2.0253100;-0.0001670;41.4978690;0.1405020;0.0000120;-0.0000020
11.2157600;-115.9608630;-7.2625740;7.2628400;-0.1400461;0.9901450;-1.4635874;41.9966540;0.1318580;-0.0000690;63.5496650;2.0222280;-0.0001710;41.9978440;0.1405080;0.0000110;-0.0000020
11.7108070;-115.8908420;-7.2630810;7.2628770;-0.1400511;0.9901443;-1.4681108;42.4966140;0.1318240;-0.0000690;63.5655600;2.0191540;-0.0001760;42.4978180;0.1405130;0.0000100;-0.0000020
12.2058540;-115.8208190;-7.2634600;7.2630010;-0.1400560;0.9901436;-1.4726503;42.9965740;0.1317890;-0.0000690;63.5814280;2.0160860;-0.0001800;42.9977920;0.1405180;0.0000090;-0.0000020
12.7009000;-115.7507940;-7.2636740;7.2632890;-0.1400600;0.9901430;-1.4772086;43.4965350;0.1317540;-0.0000700;63.5972670;2.0130250;-0.0001840;43.4977670;0.1405220;0.0000080;-0.0000020
13.1959460;-115.6807670;-7.2637080;7.2637830;-0.1400630;0.9901426;-1.4817845;43.9964950;0.1317200;-0.0000700;63.6130780;2.0099710;-0.0001890;43.9977410;0.1405250;0.0000070;-0.0000020
13.6909910;-115.6107380;-7.2635670;7.2644810;-0.1400659;0.9901422;-1.4863766;44.4964550;0.1316850;-0.0000700;63.6288610;2.0069230;-0.0001920;44.4977150;0.1405280;0.0000060;-0.0000020
14.1860370;-115.5407080;-7.2632810;7.2653430;-0.1400689;0.9901418;-1.4909858;44.9964150;0.1316490;-0.0000700;63.6446170;2.0038820;-0.0001960;44.9976900;0.1405310;0.0000050;-0.0000020
14.6810820;-115.4706760;-7.2629030;7.2662950;-0.1400709;0.9901415;-1.4956116;45.4963750;0.1316140;-0.0000710;63.6603440;2.0008480;-0.0002000;45.4976640;0.1405330;0.0000040;-0.0000020
15.1761280;-115.4006440;-7.2625060;7.2672460;-0.1400729;0.9901412;-1.5002535;45.9963350;0.1315790;-0.0000710;63.6760440;1.9978200;-0.0002030;45.9976380;0.1405350;0.0000030;-0.0000020
15.6711730;-115.3306110;-7.2621740;7.2681000;-0.1400739;0.9901411;-1.5049120;46.4962960;0.1315440;-0.0000710;63.6917170;1.9948000;-0.0002060;46.4976130;0.1405360;0.0000020;-0.0000020
16.1662180;-115.2605770;-7.2619920;7.2687720;-0.1400748;0.9901409;-1.5095858;46.9962560;0.1315080;-0.0000710;63.7073620;1.9917850;-0.0002090;46.9975870;0.1405370;0.0000010;-0.0000020
16.6612630;-115.1905430;-7.2620370;7.2692030;-0.1400748;0.9901409;-1.5142771;47.4962160;0.1314720;-0.0000720;63.7229790;1.9887780;-0.0002120;47.4975610;0.1405370;0.0000000;-0.0000020
17.1563080;-115.1205090;-7.2623650;7.2693660;-0.1400748;0.9901409;-1.5189827;47.9961760;0.1314360;-0.0000720;63.7385690;1.9857770;-0.0002150;47.9975360;0.1405370;-0.0000010;-0.0000020
17.6513530;-115.0504750;-7.2630010;7.2692730;-0.1400748;0.9901409;-1.5237042;48.4961360;0.1314000;-0.0000720;63.7541320;1.9827830;-0.0002180;48.4975100;0.1405370;-0.0000010;0.0000000
18.1463980;-114.9804420;-7.2639360;7.2689690;-0.1400739;0.9901411;-1.5284405;48.9960960;0.1313640;-0.0000720;63.7696670;1.9797950;-0.0002200;48.9974840;0.1405360;-0.0000020;-0.0000020
18.6414430;-114.9104090;-7.2651160;7.2685250;-0.1400719;0.9901413;-1.5331924;49.4960570;0.1313280;-0.0000730;63.7851750;1.9768140;-0.0002220;49.4974590;0.1405340;-0.0000030;-0.0000020
19.1364880;-114.8403760;-7.2664510;7.2680280;-0.1400709;0.9901415;-1.5379600;49.9960170;0.1312920;-0.0000730;63.8006560;1.9738400;-0.0002240;49.9974330;0.1405330;-0.0000040;-0.0000020
19.6315340;-114.7703450;-7.2678200;7.2675660;-0.1400689;0.9901418;-1.5427420;50.4959770;0.1312550;-0.0000730;63.8161110;1.9708720;-0.0002260;50.4974070;0.1405310;-0.0000040;0.0000000
20.1265790;-114.7003150;-7.2690860;7.2672170;-0.1400659;0.9901422;-1.5475388;50.9959370;0.1312180;-0.0000740;63.8315380;1.9679110;-0.0002280;50.9973820;0.1405280;-0.0000050;-0.0000020
20.6216250;-114.6302860;-7.2701070;7.2670390;-0.1400639;0.9901425;-1.5523501;51.4958970;0.1311810;-0.0000740;63.8469380;1.9649570;-0.0002300;51.4973560;0.1405260;-0.0000060;-0.0000020
21.1166710;-114.5602590;-7.2707590;7.2670590;-0.1400610;0.9901429;-1.5571751;51.9958570;0.1311440;-0.0000740;63.8623110;1.9620090;-0.0002310;51.9973300;0.1405230;-0.0000060;0.0000000
21.6117170;-114.4902330;-7.2709510;7.2672790;-0.1400570;0.9901434;-1.5620168;52.4958180;0.1311070;-0.0000750;63.8776580;1.9590670;-0.0002330;52.4973050;0.1405190;-0.0000070;-0.0000020
22.1067630;-114.4202090;-7.2706400;7.2676720;-0.1400540;0.9901439;-1.5668710;52.9957780;0.1310700;-0.0000750;63.8929780;1.9561320;-0.0002340;52.9972790;0.1405160;-0.0000070;0.0000000
22.6018100;-114.3501860;-7.2698370;7.2681950;-0.1400501;0.9901444;-1.5717408;53.4957380;0.1310320;-0.0000750;63.9082720;1.9532040;-0.0002350;53.4972530;0.1405120;-0.0000080;-0.0000020
23.0968570;-114.2801660;-7.2686130;7.2687930;-0.1400461;0.9901450;-1.5766249;53.9956980;0.1309940;-0.0000760;63.9235380;1.9502820;-0.0002360;53.9972280;0.1405080;-0.0000080;0.0000000
23.5919040;-114.2101480;-7.2670890;7.2694090;-0.1400422;0.9901455;-1.5815229;54.4956580;0.1309560;-0.0000760;63.9387790;1.9473660;-0.0002360;54.4972020;0.1405040;-0.0000080;0.0000000
24.0869520;-114.1401310;-7.2654300;7.2699940;-0.1400382;0.9901461;-1.5864361;54.9956180;0.1309180;-0.0000770;63.9539930;1.9444570;-0.0002370;54.9971760;0.1405000;-0.0000090;-0.0000020
24.5820000;-114.0701170;-7.2638190;7.2705140;-0.1400333;0.9901468;-1.5913628;55.4955790;0.1308790;-0.0000770;63.9691800;1.9415540;-0.0002370;55.4971510;0.1404950;-0.0000090;0.0000000
25.0770480;-114.0001050;-7.2624410;7.2709480;-0.1400293;0.9901474;-1.5963043;55.9955390;0.1308410;-0.0000780;63.9843420;1.9386580;-0.0002370;55.9971250;0.1404910;-0.0000090;0.0000000
25.5720960;-113.9300950;-7.2614630;7.2712930;-0.1400243;0.9901481;-1.6012604;56.4954990;0.1308020;-0.0000780;63.9994770;1.9357670;-0.0002370;56.4970990;0.1404860;-0.0000090;0.0000000
26.0671450;-113.8600880;-7.2610060;7.2715570;-0.1400194;0.9901488;-1.6062306;56.9954590;0.1307630;-0.0000780;64.0145860;1.9328840;-0.0002370;56.9970740;0.1404810;-0.0000090;0.0000000
26.5621940;-113.7900830;-7.2611380;7.2717580;-0.1400154;0.9901493;-1.6112155;57.4954190;0.1307230;-0.0000790;64.0296690;1.9300060;-0.0002370;57.4970480;0.1404770;-0.0000090;0.0000000
27.0572430;-113.7200800;-7.2618600;7.2719170;-0.1400105;0.9901500;-1.6162160;57.9953790;0.1306840;-0.0000790;64.0447260;1.9271350;-0.0002370;57.9970220;0.1404720;-0.0000090;0.0000000
27.5522930;-113.6500800;-7.2631070;7.2720510;-0.1400055;0.9901507;-1.6212305;58.4953400;0.1306440;-0.0000800;64.0597570;1.9242700;-0.0002360;58.4969970;0.1404670;-0.0000090;0.0000000
28.0473430;-113.5800820;-7.2647540;7.2721760;-0.1400016;0.9901513;-1.6262597;58.9953000;0.1306040;-0.0000800;64.0747630;1.9214110;-0.0002360;58.9969710;0.1404630;-0.0000090;0.0000000
28.5423940;-113.5100860;-7.2666310;7.2722990;-0.1399966;0.9901520;-1.6313043;59.4952600;0.1305640;-0.0000810;64.0897420;1.9185580;-0.0002350;59.4969450;0.1404580;-0.0000090;0.0000000
29.0374440;-113.4400920;-7.2685430;7.2724210;-0.1399917;0.9901527;-1.6363654;59.9952200;0.1305230;-0.0000810;64.1046960;1.9157110;-0.0002340;59.9969200;0.1404530;-0.0000090;0.0000000
29.5324950;-113.3701010;-7.2702910;7.2725400;-0.1399877;0.9901532;-1.6414400;60.4951800;0.1304830;-0.0000820;64.1196240;1.9128700;-0.0002330;60.4968940;0.1404490;-0.0000090;0.0000000
30.0275470;-113.3001120;-7.2716920;7.2726490;-0.1399837;0.9901538;-1.6465295;60.9951400;0.1304420;-0.0000820;64.1345260;1.9100350;-0.0002320;60.9968680;0.1404450;-0.0000090;0.0000000
30.5225980;-113.2301250;-7.2726050;7.2727410;-0.1399788;0.9901545;-1.6516370;61.4951010;0.1304000;-0.0000830;64.1494030;1.9072070;-0.0002310;61.4968430;0.1404400;-0.0000080;0.0000020
